"COUNTRY","Country","VARIABLE","Variable","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","1996","1996","ALL","Lek","0","Units",,,2046000000,,
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","1997","1997","ALL","Lek","0","Units",,,2292000000,,
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","1998","1998","ALL","Lek","0","Units",,,4677000000,,
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","1999","1999","ALL","Lek","0","Units",,,10678000000,,
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","2000","2000","ALL","Lek","0","Units",,,14367000000,,
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","2001","2001","ALL","Lek","0","Units",,,13819000000,,
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","2002","2002","ALL","Lek","0","Units",,,8529000000,,
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","2003","2003","ALL","Lek","0","Units",,,8358000000,,
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","2004","2004","ALL","Lek","0","Units",,,11629000000,,
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","2005","2005","ALL","Lek","0","Units",,,8469000000,,
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","2006","2006","ALL","Lek","0","Units",,,21567000000,,
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","2007","2007","ALL","Lek","0","Units",,,31333000000,,
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","2008","2008","ALL","Lek","0","Units",,,61380000000,,
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","2009","2009","ALL","Lek","0","Units",,,64319000000,,
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","2010","2010","ALL","Lek","0","Units",,,33308000000,,
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","2011","2011","ALL","Lek","0","Units",,,29486000000,,
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","2012","2012","ALL","Lek","0","Units",,,25141000000,,
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","2013","2013","ALL","Lek","0","Units",,,32853000000,,
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","2014","2014","ALL","Lek","0","Units",,,26971000000,,
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","2015","2015","ALL","Lek","0","Units",,,25041000000,,
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","2016","2016","ALL","Lek","0","Units",,,12242000000,,
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","2017","2017","ALL","Lek","0","Units",,,21339000000,,
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","2018","2018","ALL","Lek","0","Units",,,21590000000,,
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","2019","2019","ALL","Lek","0","Units",,,21630000000,,
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","2020","2020","ALL","Lek","0","Units",,,27649000000,,
"ALB","Albania","I-INV-RD","Road infrastructure investment","NAT","National currency","2021","2021","ALL","Lek","0","Units",,,32544000000,,
"ARM","Armenia","I-INV-RD","Road infrastructure investment","NAT","National currency","2001","2001","AMD","Armenian Dram","0","Units",,,682000000,,
"ARM","Armenia","I-INV-RD","Road infrastructure investment","NAT","National currency","2002","2002","AMD","Armenian Dram","0","Units",,,450000000,,
"ARM","Armenia","I-INV-RD","Road infrastructure investment","NAT","National currency","2003","2003","AMD","Armenian Dram","0","Units",,,273500000,,
"ARM","Armenia","I-INV-RD","Road infrastructure investment","NAT","National currency","2004","2004","AMD","Armenian Dram","0","Units",,,2599900000,,
